1457162802553135112	2021-11-07	01:47:39	en	NULL
1457162803928829960	2021-11-07	01:47:39	en	NULL
1457162804251828225	2021-11-07	01:47:39	en	NULL
1457162805778522113	2021-11-07	01:47:40	en	NULL
1457162805937848321	2021-11-07	01:47:40	en	NULL
1457162806118203393	2021-11-07	01:47:40	en	NULL
1457162807774941184	2021-11-07	01:47:40	en	NULL
1457162822446637063	2021-11-07	01:47:44	und	NULL
1457162823285428233	2021-11-07	01:47:44	en	NULL
1457162825311338498	2021-11-07	01:47:44	en	NULL
1457162830348705797	2021-11-07	01:47:46	und	NULL
1457162834559873025	2021-11-07	01:47:47	en	NULL
1457162843003002883	2021-11-07	01:47:49	en	NULL
1457162843204329472	2021-11-07	01:47:49	en	NULL
1457162844215066625	2021-11-07	01:47:49	en	NULL
1457162845733462016	2021-11-07	01:47:49	en	NULL
1457162846287003654	2021-11-07	01:47:49	en	NULL
1457162849592258561	2021-11-07	01:47:50	en	NULL
1457162849864884229	2021-11-07	01:47:50	en	NULL
1457162850019987456	2021-11-07	01:47:50	en	NULL
1457162851341176835	2021-11-07	01:47:51	sv	NULL
1457162852280651778	2021-11-07	01:47:51	en	NULL
1457162860136570890	2021-11-07	01:47:53	en	NULL
1457162863643172869	2021-11-07	01:47:54	fr	NULL
1457162873076133889	2021-11-07	01:47:56	es	NULL
1457162873478651908	2021-11-07	01:47:56	en	NULL
1457162873763893250	2021-11-07	01:47:56	en	NULL
1457162876645347343	2021-11-07	01:47:57	en	NULL
1457162877308186624	2021-11-07	01:47:57	es	NULL
1457162877547208709	2021-11-07	01:47:57	es	NULL
1457162881569591303	2021-11-07	01:47:58	fr	FR
1457162882517544971	2021-11-07	01:47:58	en	NULL
1457162884555976707	2021-11-07	01:47:59	en	NULL
1457162889429753859	2021-11-07	01:48:00	en	NULL
1457162889706434560	2021-11-07	01:48:00	en	NULL
1457162892017651713	2021-11-07	01:48:00	en	NULL
1457162893447761931	2021-11-07	01:48:01	en	NULL
1457162896652259329	2021-11-07	01:48:01	es	NULL
1457162898007072771	2021-11-07	01:48:02	en	NULL
1457162903979794432	2021-11-07	01:48:03	en	NULL
1457162908224430086	2021-11-07	01:48:04	es	NULL
1457162908799049733	2021-11-07	01:48:04	en	NULL
1457162919783931910	2021-11-07	01:48:07	en	NULL
1457162922241691650	2021-11-07	01:48:08	en	NULL
1457162932979044354	2021-11-07	01:48:10	en	NULL
1457162934740819969	2021-11-07	01:48:11	ar	NULL
1457162937425039361	2021-11-07	01:48:11	und	NULL
1457162941719924742	2021-11-07	01:48:12	en	NULL
1457162953967427589	2021-11-07	01:48:15	en	NULL
1457162958358810625	2021-11-07	01:48:16	en	NULL
1457162961567449091	2021-11-07	01:48:17	th	NULL
1457162965958889476	2021-11-07	01:48:18	in	NULL
1457162967976497162	2021-11-07	01:48:19	en	NULL
1457162968228114433	2021-11-07	01:48:19	hi	NULL
1457162969586880512	2021-11-07	01:48:19	en	NULL
1457162971482923018	2021-11-07	01:48:19	es	NULL
1457162975761076227	2021-11-07	01:48:20	en	NULL
1457162977115783174	2021-11-07	01:48:21	vi	NULL
1457162978889981952	2021-11-07	01:48:21	en	NULL
1457162980702015490	2021-11-07	01:48:22	en	NULL
1457163002529165313	2021-11-07	01:48:27	en	NULL
1457163015585890308	2021-11-07	01:48:30	in	NULL
1457163015913189382	2021-11-07	01:48:30	en	NULL
1457163017804726272	2021-11-07	01:48:30	en	NULL
1457163020950462465	2021-11-07	01:48:31	en	NULL
1457163024536571906	2021-11-07	01:48:32	es	NULL
1457163024876273667	2021-11-07	01:48:32	ja	NULL
1457163025765609472	2021-11-07	01:48:32	en	NULL
1457163026927439875	2021-11-07	01:48:33	en	NULL
1457163028110012417	2021-11-07	01:48:33	en	NULL
1457163034980347909	2021-11-07	01:48:34	en	NULL
1457163036859453440	2021-11-07	01:48:35	en	NULL
1457163038319067142	2021-11-07	01:48:35	und	BR
1457163039183015939	2021-11-07	01:48:35	en	NULL
1457163043943686145	2021-11-07	01:48:37	en	NULL
1457163055326846999	2021-11-07	01:48:39	und	NULL
1457163055750520832	2021-11-07	01:48:39	en	NULL
1457163061849063428	2021-11-07	01:48:41	th	NULL
1457163065254891521	2021-11-07	01:48:42	pt	NULL
1457163066219679747	2021-11-07	01:48:42	en	NULL
1457163066999726084	2021-11-07	01:48:42	fr	NULL
1457163067100315652	2021-11-07	01:48:42	en	NULL
1457163069176516608	2021-11-07	01:48:43	en	NULL
1457163069830807556	2021-11-07	01:48:43	en	NULL
1457163074029428736	2021-11-07	01:48:44	pt	NULL
1457163084666183680	2021-11-07	01:48:46	es	NULL
1457163093654577162	2021-11-07	01:48:48	en	NULL
1457163099950264321	2021-11-07	01:48:50	en	NULL
1457163103620243461	2021-11-07	01:48:51	en	NULL
1457163111375405069	2021-11-07	01:48:53	en	NULL
1457163111815913481	2021-11-07	01:48:53	und	NULL
1457163115464900610	2021-11-07	01:48:54	en	NULL
1457163116089860103	2021-11-07	01:48:54	und	NULL
1457163118379819010	2021-11-07	01:48:54	en	NULL
1457163119961198597	2021-11-07	01:48:55	en	NULL
